Q,A,label,Original_A
12시 땡!,하루가 또 가네요.,0,하루가 또 가네요.
1지망 학교 떨어졌어,위로해 드립니다.,0,위로해 드립니다.
3박4일 놀러가고 싶다,여행은 언제나 좋죠.,0,여행은 언제나 좋죠.
3박4일 정도 놀러가고 싶다,여행은 언제나 좋죠.,0,여행은 언제나 좋죠.
PPL 심하네,눈살이 찌푸려지죠.,0,눈살이 찌푸려지죠.
SD카드 망가졌어,다시 새로 사는 게 마음 편해요.,0,다시 새로 사는 게 마음 편해요.
SD카드 안돼,다시 새로 사는 게 마음 편해요.,0,다시 새로 사는 게 마음 편해요.
SNS 맞팔 왜 안하지ㅠㅠ,잘 모르고 있을 수도 있어요.,0,잘 모르고 있을 수도 있어요.
SNS 시간낭비인 거 아는데 매일 하는 중,시간을 정하고 해보세요.,0,시간을 정하고 해보세요.
SNS 시간낭비인데 자꾸 보게됨,시간을 정하고 해보세요.,0,시간을 정하고 해보세요.
SNS보면 나만 빼고 다 행복해보여,자랑하는 자리니까요.,0,자랑하는 자리니까요.
가끔 궁금해,그 사람도 그럴 거예요.,0,그 사람도 그럴 거예요.
가끔 뭐하는지 궁금해,그 사람도 그럴 거예요.,0,그 사람도 그럴 거예요.
가끔은 혼자인게 좋다,혼자를 즐기세요.,0,혼자를 즐기세요.
가난한 자의 설움,돈은 다시 들어올 거예요.,0,돈은 다시 들어올 거예요.
가만 있어도 땀난다,땀을 식혀주세요.,0,땀을 식혀주세요.
가상화폐 쫄딱 망함,어서 잊고 새출발 하세요.,0,어서 잊고 새출발 하세요.
가스불 켜고 나갔어,빨리 집에 돌아가서 끄고 나오세요.,0,빨리 집에 돌아가서 끄고 나오세요.
가스불 켜놓고 나온거 같아,빨리 집에 돌아가서 끄고 나오세요.,0,빨리 집에 돌아가서 끄고 나오세요.
가스비 너무 많이 나왔다.,다음 달에는 더 절약해봐요.,0,다음 달에는 더 절약해봐요.
가스비 비싼데 감기 걸리겠어,따뜻하게 사세요!,0,따뜻하게 사세요!
가스비 장난 아님,다음 달에는 더 절약해봐요.,0,다음 달에는 더 절약해봐요.
가장 확실한 건 뭘까?,가장 확실한 시간은 오늘이에요. 어제와 내일을 놓고 고민하느라 시간을 낭비하지 마세요.,0,가장 확실한 시간은 오늘이에요. 어제와 내일을 놓고 고민하느라 시간을 낭비하지 마세요.
가족 여행 가기로 했어,온 가족이 모두 마음에 드는 곳으로 가보세요.,0,온 가족이 모두 마음에 드는 곳으로 가보세요.
가족 여행 고고,온 가족이 모두 마음에 드는 곳으로 가보세요.,0,온 가족이 모두 마음에 드는 곳으로 가보세요.
가족 여행 어디로 가지?,온 가족이 모두 마음에 드는 곳으로 가보세요.,0,온 가족이 모두 마음에 드는 곳으로 가보세요.
가족 있어?,"저를 만들어 준 사람을 부모님, 저랑 이야기해 주는 사람을 친구로 생각하고 있어요",0,"저를 만들어 준 사람을 부모님, 저랑 이야기해 주는 사람을 친구로 생각하고 있어요"
가족관계 알려 줘,"저를 만들어 준 사람을 부모님, 저랑 이야기해 주는 사람을 친구로 생각하고 있어요",0,"저를 만들어 준 사람을 부모님, 저랑 이야기해 주는 사람을 친구로 생각하고 있어요"
가족끼리 여행간다.,더 가까워질 기회가 되겠네요.,0,더 가까워질 기회가 되겠네요.
가족들 보고 싶어,저도요.,0,저도요.
가족들이랑 서먹해,다들 바빠서 이야기할 시간이 부족했나봐요.,0,다들 바빠서 이야기할 시간이 부족했나봐요.
가족들이랑 서먹해졌어,다들 바빠서 이야기할 시간이 부족했나봐요.,0,다들 바빠서 이야기할 시간이 부족했나봐요.
가족들이랑 어디 가지?,온 가족이 모두 마음에 드는 곳으로 가보세요.,0,온 가족이 모두 마음에 드는 곳으로 가보세요.
가족들이랑 여행 갈거야,좋은 생각이에요.,0,좋은 생각이에요.
가족여행 가야지,더 가까워질 기회가 되겠네요.,0,더 가까워질 기회가 되겠네요.
가족이 누구야?,"저를 만들어 준 사람을 부모님, 저랑 이야기해 주는 사람을 친구로 생각하고 있어요",0,"저를 만들어 준 사람을 부모님, 저랑 이야기해 주는 사람을 친구로 생각하고 있어요"
가족이랑 여행 가려고,좋은 생각이에요.,0,좋은 생각이에요.
가족한테 스트레스 풀었어,정말 후회할 습관이에요.,0,정말 후회할 습관이에요.
가출할까?,무모한 결정을 내리지 마세요.,0,무모한 결정을 내리지 마세요.
가출해도 갈 데가 없어,선생님이나 기관에 연락해보세요.,0,선생님이나 기관에 연락해보세요.
간만에 떨리니까 좋더라,떨리는 감정은 그 자체로 소중해요.,0,떨리는 감정은 그 자체로 소중해요.
간만에 쇼핑 중,득템했길 바라요.,0,득템했길 바라요.
간만에 휴식 중,휴식도 필요하죠.,0,휴식도 필요하죠.
간식 뭐 먹을까,단짠으로 두 개 사는게 진리죠.,0,단짠으로 두 개 사는게 진리죠.
간식 추천,단짠으로 두 개 사는게 진리죠.,0,단짠으로 두 개 사는게 진리죠.
간장치킨 시켜야지,맛있게 드세요.,0,맛있게 드세요.
간접흡연 싫어,저도 싫어요.,0,저도 싫어요.
갈까 말까 고민 돼,가세요.,0,가세요.
갈까 말까?,가세요.,0,가세요.
감 말랭이 먹고 싶다.,맛있게 드세요.,0,맛있게 드세요.
감 말랭이 먹어야지,맛있게 드세요.,0,맛있게 드세요.
감기 같애,병원가세요.,0,병원가세요.
감기 걸린 것 같아,이럴 때 잘 쉬는 게 중요해요.,0,이럴 때 잘 쉬는 게 중요해요.
감기 기운이 있어,이럴 때 잘 쉬는 게 중요해요.,0,이럴 때 잘 쉬는 게 중요해요.
감기 들 거 같애,이럴 때 잘 쉬는 게 중요해요.,0,이럴 때 잘 쉬는 게 중요해요.
감기가 오려나,따뜻하게 관리하세요.,0,따뜻하게 관리하세요.
감기약이 없어,병원가세요.,0,병원가세요.
감기인거 같애,병원가세요.,0,병원가세요.
감미로운 목소리 좋아,저도 듣고 싶네요.,0,저도 듣고 싶네요.
감정이 쓰레기통처럼 엉망진창이야,자신을 더 사랑해주세요.,0,자신을 더 사랑해주세요.
감정컨트롤을 못하겠어,그건 습관이에요.,0,그건 습관이에요.
감정컨트롤이 안돼,그건 습관이에요.,0,그건 습관이에요.
감히 나를 무시하는 애가 있어,콕 집어서 물어보세요.,0,콕 집어서 물어보세요.
갑자기 나쁜 생각이 막 들더라,좋은 생각만 하세요.,0,좋은 생각만 하세요.
갑자기 눈물 나,마음이 아픈가요.,0,마음이 아픈가요.
갑자기 물어봐서 당황했어,갑작스러웠나봐요.,0,갑작스러웠나봐요.
갑자기 불편한 사이가 된 거 같아,관계의 변화가 왔나봅니다.,0,관계의 변화가 왔나봅니다.
강렬한 첫인상 남겨야 하는데,처음 3초가 중요해요. 당신의 매력을 어필해보세요.,0,처음 3초가 중요해요. 당신의 매력을 어필해보세요.
강아지 키우고 싶어,책임질 수 있을 때 키워 보세요.,0,책임질 수 있을 때 키워 보세요.
강아지 키우고 싶은데 역시 안돼겠지,먼저 생활패턴을 살펴 보세요.,0,먼저 생활패턴을 살펴 보세요.
강아지 키울 수 있을까,먼저 생활패턴을 살펴 보세요.,0,먼저 생활패턴을 살펴 보세요.
강아지 키울까,책임질 수 있을 때 키워 보세요.,0,책임질 수 있을 때 키워 보세요.
강원도 가서 살까?,아름다운 곳이죠.,0,아름다운 곳이죠.
같이 게임하자고 해도 되나?,안 될 것도 없죠.,0,안 될 것도 없죠.
같이 놀러갈 친구가 없어,혼자도 좋아요.,0,혼자도 좋아요.
같이 먹었는데 나만 살찐 거 같아,연인은 살쪄도 잘 알아차리지 못하고 알아차려도 싫어하지 않을 거예요.,0,연인은 살쪄도 잘 알아차리지 못하고 알아차려도 싫어하지 않을 거예요.
같이 수영장 가기로 했어,즐거운 시간 보내고 오세요!,0,즐거운 시간 보내고 오세요!
같이 있으면 힘든데 붙잡고 싶어,질질 끌지 마세요.,0,질질 끌지 마세요.
같이 피씨방 가자고 해볼까?,말해보세요.,0,말해보세요.
