author,text,time,votes,cid
@조이더톰보이,"저런남편있으면 나도 우울증 이겨낼수있을텐데,,,,,",5분 전,0,UgxLzT4XV75QuAzSse94AaABAg
@Milmyeon-mania,"나가서 뭐라도 일이라도 해야지
아무것도 안하고 처박혀있으니까 우울해지지.",47분 전,0,Ugz3JsQLhMB3ux2zKN94AaABAg
@SeonyeongKang-r7y,8년....아직도 삶과 죽음의 사이에서 고통스러운.....나의 사랑 옆에 있어줘 너무 고마워 사는게 지옥이라도 엄마 옆에서 살아있어줘서 고맙고 또 고마워,56분 전,0,UgzK-L5aqpB1eRoKlnd4AaABAg
@빌드업장인-h5l,솔직히 우울증은 배부른 병이다,1시간 전,1,Ugw2D3TBtIG_dSsyiqR4AaABAg
@1111-v6c,남편이 우울증+정신병 걸리겠네 ㅋㅋㅋㅋ,1시간 전,2,UgwOhSHNkZcUKIX_Vwd4AaABAg
@youve_s,보건복지부 잘만들어땅 ㅠㅠ 흐어어어어어어어엉어엉 이것이 예술의 순기능 ㅠㅠ 흐어어어어어어엉,1시간 전,0,UgzrSjx5lWg2h7HnT-J4AaABAg
@youve_s,흐엉 ㅠㅠ 흐엉 ㅠㅠㅠㅠㅠㅠ 흐어어어어어어어어엉 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ,1시간 전,0,UgwAnt2LboP37IKZaZ14AaABAg
@STAYforSTAYZ,"이런 영상이 우울의 발단이 된다. 실화를 기반해서 더 우울해진다. 진심으로.. 어떤병이든 어떤 환자든 옆에 좋은 사람이 있으면 기대면서 이겨내는 거고, 그런 사람이 없다면 스스로 이겨내야함. 남탓하지 마라. 아픈것 니 탓이야. 이런 댓글 악플이라고 욕하지마. 난 97년에 공황장애 우울 정신ADHD진단 받고 싸우는 중이니까. 이 사람 우울의 원인은 진짜 뇌신경물질 이런것 같고, 우울의 원인이 경제 건강 관계 실질적인 문제는 그 문제가 해결되지 않는 이상 없어지지 않는다. 사실 그건 우울도 아니다. 힘드니까 힘든거지. 이런 영상은 아무 도움이 안된다. 진심으로 판타지다. 정신차려!!!",2시간 전,0,Ugw8H7lYW9WLha7W4b54AaABAg
@manipulat.0,"작품 좋으네요
우리 국민들 잘 지켜주세요",2시간 전,0,UgwrYEStyuXDv8XMN2l4AaABAg
@yiabb,대행사 어디?,2시간 전,0,Ugxw9DF1w_HWP9gF9N14AaABAg
@하유자-f7y,우울증에 걸려도 저렇게 헌신해줄 사람이 없어서 난 그냥 스스로 이겨내고 산다 어우.. 이거 보니까 더 우울하다 난 저런 사람이 곁에 없다,2시간 전,3,UgxUnhcLjteG7j8lccd4AaABAg
@잘가-c2w,"이거 매크로 돌린거 이냐?
조회수가 이렇게 터졌다고?",3시간 전,0,Ugz7ljqgL3acw6PpmSd4AaABAg
@emyliana-ck2cm,남편이 불쌍하다.,3시간 전,1,UgzeOuhv_cfYMAMevjd4AaABAg
@jsm41,"남편은 버티고 있는 겁니다. 저는 아내의 퇴사 후 5년 넘게 버틴 것 같습니다. 지나고보니
괜찮지 않고 힘들다. 힘들었다는 솔직함은 정말 필요한 것 같습니다. 또 버티긴 해야겠지만요",4시간 전,2,UgyCfJ7bPLLwF478AnZ4AaABAg
@0r4nged0g,"자립해야지. 너무 의존적이다. 자기 자신이 스스로에게 잘해주려고 하세요.
만약 반대 입장이었으면 아내 너무 불쌍하다고 난리였을 듯.
몇몇 댓글에도 '내 남편이랑 비교 돼서 더 우울하다'이러는데; 저런 댓글 쓰는 와이프 둔 남편들도 피차 불쌍함",4시간 전,0,Ugx2LGvyOe4eIBFO98x4AaABAg
@임상진-p7l,"그냥 어제와같은 오늘,내일이여서 그래요
사는 의미나 목적이 없어서요
자원봉사하면서 독거노인 만나보시고
말동무도 되어 보시고 
라면으로 끼니를 때우는 가정 방문해서 
도시락도 전달해보세요
그럼 좋아지십니다",6시간 전,0,UgxldGAsSzd0mdXvDJl4AaABAg
@duswn1205zz,영상 참 공감없이 만들었네....아니 내가 이게 우울증인가 확인할수 있는 영상도 아니고...공부?1프로 부부들 이야기를 해놓음? 우울증 걸리고 이혼조장 영상이지 이게...ㅋㅋㅋㅋㅋ,6시간 전,2,UgzhTxd_UBdSk9aVv2N4AaABAg
@BooMenHea,남편이 우울증에 걸린 에피소드는 없나요?,6시간 전,3,UgzS64ik_JyDcYdUQQR4AaABAg
